"2FA Configuration","2FA Configuration"
"You saved the 2FA providers.","You saved the 2FA providers."
"We can't save the 2FA providers.","We can't save the 2FA providers."
"Two Factor Authentication Providers","Two Factor Authentication Providers"
None,None
Save,Save
"There are no two factor authorization providers configured.","There are no two factor authorization providers configured."
"Enable Two Factor Auth for Customers","Enable Two Factor Auth for Customers"
"Force providers","Force providers"
